page_id,page_title,view_count,protection_status,page_length,edit_count,page_watchers,page_watchers_recent_edits,page_views_past_30days,page_id_scrapped,redirects,recent_number_of_edits,number_distinct_authors,number_categories
994248,Forfeit (baseball),114667,unprotected,17273,198,Fewer than 30 watchers,,1386,994248,0,0,0,4
2208730,Denver Center for the Performing Arts,104469,unprotected,7612,108,Fewer than 30 watchers,,223,2208730,12,0,0,8
2970314,Liam Fontaine,101407,unprotected,20489,412,Fewer than 30 watchers,,1064,2970314,0,3,1,5
32073239,Janko Nilović,98258,unprotected,7824,137,Fewer than 30 watchers,,1429,32073239,1,0,0,20
19127843,Random Acts of Kindness Day,92292,unprotected,6185,95,Fewer than 30 watchers,,316,19127843,1,0,0,8
615932,Russian humour,91731,unprotected,13421,377,50,4,850,615932,5,7,4,8
108852,"Somers, Connecticut",89607,unprotected,15884,353,Fewer than 30 watchers,,1096,108852,5,0,0,10
8041064,2wo,79464,unprotected,47,1,Fewer than 30 watchers,,280,56546778,0,0,0,
9913874,Sameer Group,76753,unprotected,4903,64,Fewer than 30 watchers,,1175,9913874,2,1,1,3
33002187,Kellie Wells (athlete),69661,unprotected,5074,83,Fewer than 30 watchers,,885,33002187,0,1,1,4
1747520,Stormont House,67905,unprotected,2667,76,Fewer than 30 watchers,,577,1747520,0,0,0,4
649497,Ten High,66388,unprotected,2942,129,Fewer than 30 watchers,,488,649497,0,0,0,2
6607217,Joe Vogel,60203,unprotected,7786,175,Fewer than 30 watchers,,619,6607217,0,0,0,7
40846275,Technothlon,58232,unprotected,16424,115,Fewer than 30 watchers,,847,40846275,0,0,0,10
13166829,Wellington Central (New Zealand electorate),56294,unprotected,85725,269,Fewer than 30 watchers,,468,13166829,2,0,0,6
32289827,The Gravy Train,56091,unprotected,3424,40,Fewer than 30 watchers,,652,32289827,0,0,0,2
8659823,Katya Lycheva,54999,unprotected,3834,53,Fewer than 30 watchers,,881,8659823,0,0,0,9
7959206,Espagne,49321,unprotected,534,15,Fewer than 30 watchers,,316,7959206,3,0,0,
34343738,Scranton Lace Company,48569,unprotected,6465,56,Fewer than 30 watchers,,205,34343738,0,0,0,6
25217696,Sergio y Estíbaliz,47978,unprotected,4743,29,Fewer than 30 watchers,,472,25217696,2,0,0,7
30408047,David Straiton,47433,unprotected,2814,38,Fewer than 30 watchers,,318,30408047,1,1,1,13
31543806,Swinerton,46549,unprotected,5314,84,Fewer than 30 watchers,,483,31543806,3,0,0,3
17144344,German occupation of Estonia during World War I,45499,unprotected,8494,111,Fewer than 30 watchers,,344,17144344,2,0,0,2
8035336,Wig wag (truck braking systems),45452,unprotected,64,28,Fewer than 30 watchers,,204,8035336,0,0,0,2
14531947,Politics of Anhui,44043,unprotected,3579,64,Fewer than 30 watchers,,36,14531947,3,2,1,
3534946,Hrvoje Vukčić Hrvatinić,43675,unprotected,14074,214,Fewer than 30 watchers,,557,3534946,3,2,1,15
9582851,Dáinn (Norse dwarf),43200,unprotected,2462,21,Fewer than 30 watchers,,610,9582851,2,0,0,
18852506,Double Time (Leon Redbone album),42507,unprotected,4813,51,Fewer than 30 watchers,,248,18852506,0,0,0,6
9406648,Pittsburgh Center for the Arts,41153,unprotected,11730,74,Fewer than 30 watchers,,150,9406648,1,0,0,5
3732486,Quantum mirage,36815,unprotected,4927,63,Fewer than 30 watchers,,273,3732486,3,0,0,
2505806,Ernst Hofbauer,36781,unprotected,4521,87,Fewer than 30 watchers,,367,2505806,0,0,0,11
46456843,EyeOpener (U.S. TV program),36453,unprotected,63,2,Fewer than 30 watchers,,14,59817878,0,0,0,
17062169,Tony Oden,35307,unprotected,7717,84,Fewer than 30 watchers,,240,17062169,0,0,0,8
1838995,Galician Literature Day,34990,unprotected,5397,129,Fewer than 30 watchers,,76,1838995,4,0,0,9
14874715,NFIA,34819,unprotected,6869,37,Fewer than 30 watchers,,134,14874715,1,1,1,2
22932162,Lowndes Grove,33949,unprotected,9191,55,Fewer than 30 watchers,,845,22932162,0,1,1,9
14303581,PRKCQ,32057,unprotected,19033,75,Fewer than 30 watchers,,135,14303581,3,0,0,
41552509,Terpsichora,31620,unprotected,6127,25,Fewer than 30 watchers,,284,41552509,2,0,0,4
36259528,Boerhavia erecta,30716,unprotected,6619,42,Fewer than 30 watchers,,561,36259528,1,0,0,8
31090870,Irish Coffee (band),30233,unprotected,10095,65,Fewer than 30 watchers,,274,31090870,0,0,0,5
10913591,Terpsitone,29299,unprotected,1102,30,Fewer than 30 watchers,,268,10913591,0,0,0,
42137018,On the Way (film),29116,unprotected,1660,10,Fewer than 30 watchers,,225,42137018,0,0,0,6
11243617,Paolo Veneziano,29106,unprotected,5864,70,Fewer than 30 watchers,,384,11243617,2,0,0,14
8979715,Bolt (comics),28754,unprotected,952,7,Fewer than 30 watchers,,46,8979715,1,0,0,3
48057153,Black Hole (2015 film),28537,unprotected,8145,43,Fewer than 30 watchers,,128,48057153,0,1,1,4
5482190,Dan Sikes,28302,unprotected,13221,123,Fewer than 30 watchers,,200,5482190,0,2,1,
1894958,Ergastulum,28043,unprotected,4552,38,Fewer than 30 watchers,,361,1894958,1,0,0,4
17128044,Ludgate Circus tube station,27629,unprotected,3265,57,Fewer than 30 watchers,,207,17128044,1,0,0,7
30984841,The Amazing Race 3 (Latin America),26082,unprotected,40242,678,Fewer than 30 watchers,,68,30984841,4,0,0,7
9503615,Warborough,25673,unprotected,9233,60,Fewer than 30 watchers,,290,9503615,1,0,0,8
5678569,Lollar,25323,unprotected,1428,39,Fewer than 30 watchers,,149,5678569,0,2,1,10
23264187,Cappelen Damm,24621,unprotected,1110,17,Fewer than 30 watchers,,84,23264187,1,0,0,9
46846123,Piñata Protest,21011,unprotected,5844,55,Fewer than 30 watchers,,166,46846123,1,0,0,9
6728128,Homespun,20983,unprotected,1223,14,Fewer than 30 watchers,,106,52377967,1,0,0,
1204347,British Rail DHP1,20675,unprotected,2656,32,Fewer than 30 watchers,,162,1204347,2,0,0,4
6479721,Jeff Trandahl,20351,unprotected,7845,105,Fewer than 30 watchers,,133,6479721,1,0,0,4
119447,"Kelliher, Minnesota",19396,unprotected,9360,87,Fewer than 30 watchers,,124,119447,1,0,0,8
13556677,The Guns (band),19145,unprotected,5935,217,Fewer than 30 watchers,,72,13556677,1,0,0,8
1851366,WNTM,19135,unprotected,11078,143,Fewer than 30 watchers,,115,1851366,2,0,0,3
29518238,2010 New York City Marathon,18973,unprotected,13931,62,Fewer than 30 watchers,,61,29518238,1,0,0,3
40190933,Allan Hornyak,18965,unprotected,5267,24,Fewer than 30 watchers,,119,40190933,1,1,1,3
44973911,Anders Gronstedt,18945,unprotected,7421,49,Fewer than 30 watchers,,30,44973911,0,1,1,8
18131480,WIZZ,18846,unprotected,3588,52,Fewer than 30 watchers,,101,18131480,1,0,0,3
13491517,Fredrik Hermansson,18818,unprotected,2850,50,Fewer than 30 watchers,,93,13491517,1,0,0,5
20874386,2008 Summer Olympics on NBC,18667,unprotected,15417,58,Fewer than 30 watchers,,476,20874386,2,0,0,6
1284813,Suristan,18236,unprotected,714,30,Fewer than 30 watchers,,68,1284813,1,0,0,6
2876164,Ataun,17824,unprotected,2839,65,Fewer than 30 watchers,,83,2876164,0,0,0,11
8227825,Morrisons Cove,17541,unprotected,6129,72,Fewer than 30 watchers,,119,8227825,2,0,0,4
3320921,Susan Shwartz,17398,unprotected,5966,83,Fewer than 30 watchers,,70,3320921,1,0,0,20
5291226,Roberval and Saguenay Railway,17352,unprotected,874,34,Fewer than 30 watchers,,65,5291226,6,0,0,3
10678644,Tommy Turner (footballer),16963,unprotected,3275,61,Fewer than 30 watchers,,217,10678644,0,1,1,4
15514710,Eccellenza Lombardy,16679,unprotected,4932,39,Fewer than 30 watchers,,202,15514710,1,1,1,3
994697,The Sunday Format,15807,unprotected,3759,44,Fewer than 30 watchers,,84,994697,1,0,0,3
32102180,Kanpur railway station,15571,unprotected,2410,40,Fewer than 30 watchers,,179,32102180,2,0,0,13
12973138,Ace of Hearts Records (US),15409,unprotected,13195,116,Fewer than 30 watchers,,142,12973138,1,0,0,5
22269627,Pieri's formula,15032,unprotected,1847,15,Fewer than 30 watchers,,148,22269627,1,0,0,
42742638,Claudio Daniel Stern,14989,unprotected,5932,38,Fewer than 30 watchers,,57,42742638,3,0,0,8
7004929,1998 Riga bombing,14327,unprotected,13724,71,Fewer than 30 watchers,,109,7004929,1,1,1,3
22836451,Sopwith Grasshopper,14292,unprotected,2955,22,Fewer than 30 watchers,,92,22836451,0,0,0,
25858615,Rodger Dean Duncan,14213,unprotected,8587,89,Fewer than 30 watchers,,38,25858615,1,2,2,14
33775301,Monument to Christ the King,13435,unprotected,8013,35,Fewer than 30 watchers,,96,33775301,1,0,0,5
44215100,George Budd,13262,unprotected,3740,20,Fewer than 30 watchers,,72,44215100,1,0,0,16
134907,"Badger, South Dakota",13004,unprotected,11369,94,Fewer than 30 watchers,,49,134907,1,0,0,4
11849345,The Best of Baccara,12726,unprotected,3343,66,Fewer than 30 watchers,,88,11849345,2,0,0,6
22989599,Kempf,12456,unprotected,403,18,Fewer than 30 watchers,,111,22989599,2,0,0,
31867818,The Square Circle,11820,unprotected,4629,22,Fewer than 30 watchers,,180,31867818,0,0,0,
6160716,"Barview, Oregon",11741,unprotected,6338,52,Fewer than 30 watchers,,64,6160716,4,0,0,4
38348515,Rolling Stone Australia Awards,11676,unprotected,5787,21,Fewer than 30 watchers,,52,38348515,0,2,1,3
6700858,Mornago,11383,unprotected,4428,41,Fewer than 30 watchers,,64,6700858,0,0,0,8
8774881,Raymond D. Fogelson,11112,unprotected,4303,31,Fewer than 30 watchers,,33,8774881,2,0,0,12
10847146,R. Paul Robertson,11000,unprotected,2345,52,Fewer than 30 watchers,,94,10847146,0,0,0,11
44250125,Dolu,10927,unprotected,456,10,Fewer than 30 watchers,,23,44250125,1,0,0,
35195712,Box of Toys,10909,unprotected,3019,23,Fewer than 30 watchers,,39,35195712,0,0,0,8
17500955,Miyahara Station,10830,unprotected,4342,32,Fewer than 30 watchers,,64,17500955,0,3,1,8
18730840,Landesliga Westfalen,10783,unprotected,3674,34,Fewer than 30 watchers,,90,18730840,0,0,0,6
6070854,Gérgal,10685,unprotected,3156,58,Fewer than 30 watchers,,60,6070854,5,0,0,10
20152869,Natércia,10660,unprotected,2251,47,Fewer than 30 watchers,,25,20152869,1,0,0,4
20921483,"Brighton High School (Brighton, Tennessee)",10482,unprotected,2638,82,Fewer than 30 watchers,,29,20921483,0,0,0,8
11900591,German settlements in the Riverina,10481,unprotected,5447,39,Fewer than 30 watchers,,64,11900591,1,0,0,3
32602140,Satchwell v President of the Republic of South Africa,10455,unprotected,4159,15,Fewer than 30 watchers,,27,32602140,5,1,1,3
27282260,Yaroslav Krestovsky,10438,unprotected,9045,99,Fewer than 30 watchers,,14,27282260,2,0,0,9
10991907,Ray Collins (American football),10279,unprotected,2183,40,Fewer than 30 watchers,,51,10991907,1,1,1,6
35761443,V. Owen Bush,10243,unprotected,24338,244,Fewer than 30 watchers,,25,35761443,1,0,0,7
25601121,Canadian Unitarians for Social Justice,9971,unprotected,2245,27,Fewer than 30 watchers,,18,25601121,0,0,0,
42077406,Ministry of Ports and Shipping (Pakistan),9716,unprotected,59,2,Fewer than 30 watchers,,1,53652369,0,0,0,
49731332,30th Japan Academy Prize,9617,unprotected,60,1,Fewer than 30 watchers,,4,61909972,0,0,0,
19318807,Éon de l'Étoile,9604,unprotected,5164,26,Fewer than 30 watchers,,57,19318807,4,0,0,3
3794087,EGABTR,9554,unprotected,4321,19,Fewer than 30 watchers,,72,3794087,0,0,0,
48901872,Chemillé-en-Anjou,9467,unprotected,2673,20,Fewer than 30 watchers,,62,48901872,0,0,0,11
15824338,Canville-la-Rocque,9227,unprotected,1621,52,Fewer than 30 watchers,,11,15824338,0,0,0,12
35778912,"Maxine, West Virginia",8951,unprotected,2774,8,Fewer than 30 watchers,,26,35778912,0,0,0,5
27166824,Echoes of Valor,8924,unprotected,1696,16,Fewer than 30 watchers,,50,27166824,0,0,0,3
40654445,Former Residence of Ba Jin,8833,unprotected,3666,14,Fewer than 30 watchers,,33,40654445,0,0,0,5
27485183,Willem van den Hout,8800,unprotected,8807,45,Fewer than 30 watchers,,59,27485183,1,1,1,12
43842849,Aude (writer),8735,unprotected,4113,41,Fewer than 30 watchers,,43,43842849,2,0,0,13
28672240,Jubilee Garden,8546,unprotected,634,15,Fewer than 30 watchers,,16,28672240,0,0,0,6
38309501,List of theatres in Serbia,8509,unprotected,5604,24,Fewer than 30 watchers,,24,38309501,0,0,0,2
49872243,Gregorio Sciltian,8385,unprotected,2196,14,Fewer than 30 watchers,,55,49872243,0,0,0,20
25379910,Parrita,8361,unprotected,4344,26,Fewer than 30 watchers,,45,25379910,2,0,0,8
25569743,"Acari, Rio Grande do Norte",8270,unprotected,5118,27,Fewer than 30 watchers,,45,25569743,0,0,0,10
43063238,Young Mrs. Winthrop,8159,unprotected,4406,31,Fewer than 30 watchers,,21,43063238,0,0,0,7
15451465,Jonathan Bliss,7986,unprotected,2341,23,Fewer than 30 watchers,,30,15451465,1,0,0,2
12410725,Rock skipper,7947,unprotected,3594,44,Fewer than 30 watchers,,22,12410725,1,0,0,4
42553171,Victor On-kwok Li,7906,unprotected,3887,37,Fewer than 30 watchers,,39,42553171,1,0,0,13
33263353,Brunflo FK,7884,unprotected,9326,36,Fewer than 30 watchers,,23,33263353,0,0,0,7
30882408,Pine Islet Light,7730,unprotected,10125,59,Fewer than 30 watchers,,47,30882408,1,0,0,9
43655946,Haumaniastrum,7707,unprotected,4350,10,Fewer than 30 watchers,,61,43655946,0,1,1,3
30318916,1956 Emperor's Cup,7683,unprotected,1470,8,Fewer than 30 watchers,,6,30318916,0,0,0,
28971991,Forest Fire Lookout Association,7553,unprotected,2094,20,Fewer than 30 watchers,,57,28971991,1,0,0,2
16825300,Calhoun County Courthouse (South Carolina),7522,unprotected,3739,28,Fewer than 30 watchers,,20,16825300,0,0,0,5
868404,"Sawa District, Gunma",7441,unprotected,1808,34,Fewer than 30 watchers,,26,868404,0,0,0,7
38377889,Mishen,7405,unprotected,1828,5,Fewer than 30 watchers,,26,38377889,4,0,0,5
5151116,Slick Shoes (album),7279,unprotected,165,29,Fewer than 30 watchers,,6,5151116,0,1,1,3
36466994,Lelei Fonoimoana,7116,unprotected,2338,24,Fewer than 30 watchers,,32,36466994,1,1,1,4
19814070,Chardon de Croisilles,7082,unprotected,2936,19,Fewer than 30 watchers,,12,19814070,3,0,0,4
22409936,James Striar School of General Jewish Studies,6928,unprotected,5366,58,Fewer than 30 watchers,,22,22409936,0,0,0,8
26624894,The Quakeress,6917,unprotected,3156,22,Fewer than 30 watchers,,20,26624894,0,0,0,4
50222102,Nikolaus Hillebrand,6812,unprotected,6145,36,Fewer than 30 watchers,,28,50222102,0,1,1,14
22467831,"Zala, Cerknica",6778,unprotected,4375,18,Fewer than 30 watchers,,15,22467831,0,0,0,6
15435318,Verdun-en-Lauragais,6601,unprotected,1778,53,Fewer than 30 watchers,,15,15435318,0,0,0,13
4972179,Blackpool Gate,6542,unprotected,1590,20,Fewer than 30 watchers,,40,4972179,1,0,0,7
21841567,Nowe Guty,6460,unprotected,1895,12,Fewer than 30 watchers,,39,21841567,0,0,0,9
35828882,Marco Gerini,6278,unprotected,2109,19,Fewer than 30 watchers,,21,35828882,0,0,0,4
33492496,Gustav Niessl von Mayendorf,6243,unprotected,2115,13,Fewer than 30 watchers,,18,33492496,1,0,0,7
16226447,Aïn Bouyahia,6033,unprotected,1070,17,Fewer than 30 watchers,,11,16226447,3,0,0,6
50330064,Jane Ward (volleyball),6014,unprotected,2580,16,Fewer than 30 watchers,,50,50330064,0,0,0,3
38026467,Malaysia Federal Route 230,5869,unprotected,2989,25,Fewer than 30 watchers,,14,38026467,1,2,1,4
38115655,Djursholms Ekeby,5790,unprotected,2641,9,Fewer than 30 watchers,,18,38115655,0,0,0,4
41750485,Marguerite Fourrier,5773,unprotected,1789,8,Fewer than 30 watchers,,22,41750485,1,0,0,8
35921636,Charaxes cedreatis,5767,unprotected,3551,27,Fewer than 30 watchers,,13,35921636,2,0,0,5
44953578,Mabuti Potloane,5764,unprotected,1740,9,Fewer than 30 watchers,,8,44953578,0,0,0,3
15431820,Saint-Félix-de-Tournegat,5605,unprotected,2857,70,Fewer than 30 watchers,,11,15431820,1,0,0,14
16623945,SS Potsdam,5496,unprotected,670,12,Fewer than 30 watchers,,37,16623945,0,0,0,3
25426903,Fred Thomas (wrestler),5449,unprotected,1812,23,Fewer than 30 watchers,,20,25426903,0,0,0,7
49654498,Celeste Kaplan,5374,unprotected,5643,39,Fewer than 30 watchers,,19,49654498,1,0,0,
5172501,Tactile corpuscles of Grandry,5321,unprotected,13040,28,Fewer than 30 watchers,,31,5172501,2,0,0,2
43360752,Jacob Jacobs,5248,unprotected,258,6,Fewer than 30 watchers,,24,43360752,2,0,0,
22107014,"Logan Township, Sherman County, Kansas",5105,unprotected,3406,19,Fewer than 30 watchers,,8,22107014,0,0,0,5
28453164,Kunovec Breg,5038,unprotected,2301,10,Fewer than 30 watchers,,11,28453164,0,0,0,6
23335011,The Mumbai Xpress,4988,unprotected,226,39,Fewer than 30 watchers,,15,23335011,0,0,0,3
16514490,Stephen Hoar,4943,unprotected,7209,76,Fewer than 30 watchers,,2,16514490,1,0,0,2
44687054,Dichocrocis eubulealis,4800,unprotected,811,9,Fewer than 30 watchers,,13,44687054,1,0,0,4
20042982,Gil Marquez,4763,unprotected,616,20,Fewer than 30 watchers,,18,20042982,0,0,0,3
48373232,2013 Tajik Cup,4675,unprotected,50,1,Fewer than 30 watchers,,5,56675760,0,0,0,
25460933,Vriesea pardalina,4510,unprotected,1023,13,Fewer than 30 watchers,,17,25460933,0,0,0,5
27056128,Didianema pauli,4411,unprotected,1432,22,Fewer than 30 watchers,,3,27056128,0,0,0,8
35883126,Kristina Bergstrand,4395,unprotected,1711,15,Fewer than 30 watchers,,17,35883126,0,0,0,3
37868236,Pottstown Landing Historic District,4114,unprotected,2543,11,Fewer than 30 watchers,,12,37868236,0,0,0,6
2125222,Lautari,4085,unprotected,134,5,Fewer than 30 watchers,,9,2125222,1,0,0,
48985076,William Dunstone,4074,unprotected,1878,6,Fewer than 30 watchers,,9,48985076,1,0,0,5
28385909,Zabus,4067,unprotected,2393,10,Fewer than 30 watchers,,3,28385909,0,0,0,4
12131053,Archibald Currie (Canadian politician),3964,unprotected,2091,18,Fewer than 30 watchers,,9,12131053,1,0,0,
35553781,Robert Stanton Avery,3893,unprotected,1605,21,Fewer than 30 watchers,,11,35553781,0,0,0,3
18639933,Sojczyn Grądowy,3660,unprotected,1517,9,Fewer than 30 watchers,,9,18639933,1,0,0,5
20921922,Camissoniopsis hirtella,3580,unprotected,1642,10,Fewer than 30 watchers,,15,20921922,2,0,0,5
19518467,Huntoon Mountains,3521,unprotected,1255,12,Fewer than 30 watchers,,9,19518467,0,0,0,2
29530235,Stanislav Hristov,3488,unprotected,1491,22,Fewer than 30 watchers,,2,29530235,0,0,0,4
27222762,Tsutomu Matsuda,3481,unprotected,208,4,Fewer than 30 watchers,,1,57649407,1,0,0,
25397157,Vriesea schunkii,3472,unprotected,1019,11,Fewer than 30 watchers,,5,25397157,0,0,0,5
40792858,2013–14 MŠK Žilina season,3325,unprotected,4803,11,Fewer than 30 watchers,,11,40792858,3,1,1,
5481257,Oil Circuit Breaker,3237,unprotected,147,6,Fewer than 30 watchers,,2,50368589,0,0,0,4
45704583,Altounyan,3211,unprotected,762,12,Fewer than 30 watchers,,22,45704583,5,0,0,3
18560408,Mulock Inlet,3180,unprotected,529,20,Fewer than 30 watchers,,5,18560408,1,0,0,3
40744818,Cosmosoma aurifera,3159,unprotected,803,12,Fewer than 30 watchers,,5,40744818,1,0,0,4
31606987,Starksia spinipenis,3042,unprotected,1853,18,Fewer than 30 watchers,,4,31606987,2,0,0,5
29206249,Justice Burke,2851,unprotected,1130,19,Fewer than 30 watchers,,4,29206249,1,0,0,
46180677,Ditrigona chama,2813,unprotected,1532,12,Fewer than 30 watchers,,4,46180677,0,0,0,5
22358273,Mesohibolites,2748,unprotected,1214,7,Fewer than 30 watchers,,8,22358273,0,0,0,2
22187225,Parallelura,2717,unprotected,58,9,Fewer than 30 watchers,,2,22187225,0,0,0,3
21670197,Mieścin,2664,unprotected,1647,9,Fewer than 30 watchers,,8,21670197,1,0,0,6
33226559,Kim Dae-jin,2578,unprotected,159,8,Fewer than 30 watchers,,1,33226559,4,0,0,
26629652,CUWS,2431,unprotected,224,7,Fewer than 30 watchers,,13,26629652,0,0,0,
28778424,William Richmond (physician),2353,unprotected,59,1,Fewer than 30 watchers,,2,51422431,0,0,0,
44298454,Goephanes pictidorsis,2154,unprotected,825,7,Fewer than 30 watchers,,5,44298454,0,0,0,4
29084654,Diamond Ranch,2084,unprotected,367,3,Fewer than 30 watchers,,4,29084654,1,0,0,
14987042,Fayette Township,1711,unprotected,452,6,Fewer than 30 watchers,,2,14987042,1,0,0,
4257131,Melissopetra,1543,unprotected,292,7,Fewer than 30 watchers,,3,4257131,1,0,0,
18060536,"Toéssin, Bam",1303,unprotected,320,3,Fewer than 30 watchers,,0,18060536,2,0,0,
40050862,Bard Rasun,804,unprotected,122,2,Fewer than 30 watchers,,1,40050862,0,0,0,
49078342,Tony Krolis,558,unprotected,0,,Fewer than 30 watchers,,0,0,0,,,
102490,Dell,8882397,sysop,135576,8481,516,31,63588,102490,40,32,13,27
1100953,Khachkar,193942,sysop,15897,511,83,9,1818,1100953,12,0,0,9
11091078,Dragon Ball,8815357,sysop,159479,5606,502,48,116314,11091078,113,16,12,23
1205872,Halo (series),4345535,sysop,47,1,443,43,12080,57657533,0,0,0,
12330092,Girls' Generation,8336903,sysop,173017,14379,490,34,84832,12330092,40,19,13,29
12701,Greenwich Mean Time,5121310,sysop,22563,1695,366,36,81522,12701,13,4,3,8
12787,Geoffrey Chaucer,4448068,sysop,69387,3118,577,59,47180,12787,13,15,4,48
1282180,Barelvi,852973,sysop,116820,5384,155,20,12986,1282180,30,161,20,19
12981647,Super Smash Bros. Brawl,1384373,sysop,94061,15983,1595,25,12064,12981647,109,8,5,18
1300462,Bob Enyart,102332,sysop,6736,670,31,4,470,1300462,1,0,0,7
13076,Gordon Brown,5459768,sysop,137977,6883,393,37,52961,13076,15,11,9,30
13395562,Abigail Breslin,8997565,sysop,52514,2926,313,29,195754,13395562,3,13,9,23
1371138,The Fox and the Hound,2768125,sysop,40299,2123,167,17,38308,1371138,7,13,13,8
1402672,Carlton Cole,1222990,sysop,48454,2961,41,5,9580,1402672,1,2,2,9
14142805,1998 Georgia Bulldogs football team,46280,sysop,6387,168,Fewer than 30 watchers,,322,14142805,3,0,0,6
142056,Madonna (entertainer),24732062,sysop,126,3,1315,101,21222,64683029,0,0,0,4
1449866,Word,2123859,sysop,17295,3480,375,41,18204,1449866,6,7,6,8
148703,Duran Duran,6156869,sysop,100788,5738,331,33,98848,148703,7,14,12,24
151496,Cheeseburger,969377,sysop,17581,3738,154,10,9834,151496,13,7,6,5
1524059,Chitral,429373,sysop,15211,1564,71,9,5925,1524059,16,3,2,15
15580374,Main Page,38902600027,sysop,3508,4247,116826,5546,169933313,15580374,57,0,0,
156105,Chinggis Khaan International Airport,376293,sysop,22874,204,47,10,2357,38046876,9,39,10,8
156115,Sexual fetishism,3711274,sysop,32526,2287,489,36,45123,156115,19,2,2,11
1567383,Satyananda Saraswati,258831,sysop,26280,866,62,8,3778,1567383,6,1,1,20
1573838,Birdman (rapper),4848897,sysop,36566,6750,202,20,43220,1573838,23,11,10,24
15777,Joseph Goebbels,10854061,sysop,96274,5967,572,66,162547,15777,31,23,21,34
159275,Emily Dickinson,6958642,sysop,88399,5077,445,41,72354,159275,11,4,4,49
159548,Iain Duncan Smith,1728079,sysop,78037,2595,165,16,11895,159548,11,5,5,22
169941,Merle Haggard,6425836,sysop,102126,2359,217,18,53350,169941,6,6,5,39
17020605,John Cabot,2516672,sysop,53577,6663,272,32,14107,17020605,9,2,2,37
170691,Peru,10747907,sysop,144001,11803,887,72,161452,170691,19,49,28,51
17238662,Grenada,7689889,sysop,75734,3272,326,35,112971,17238662,16,27,14,30
17279743,Cartoon Network,6456090,sysop,95382,15285,599,73,116724,17279743,63,68,39,18
18562,Leet,2916208,sysop,24654,9877,997,45,49251,18562,193,2,2,7
18582230,Methane,4871391,sysop,62256,4130,396,43,36193,18582230,17,9,6,25
18963754,Viscosity,9382102,sysop,74774,3695,548,55,61283,18963754,38,0,0,18
19167764,Undergarment,1953274,sysop,65153,3113,277,25,22181,19167764,56,25,7,20
19230767,Odin,9624700,sysop,72271,4643,832,98,118969,19230767,56,24,11,27
19230789,Amun,2844497,sysop,34152,2030,401,41,31046,19230789,42,1,1,26
19588,Mitochondrion,6617711,sysop,135196,5022,589,47,46220,19588,32,3,3,19
19729548,Millard Fillmore,4784194,sysop,104467,5199,269,39,53078,19729548,16,6,6,32
200136,Static electricity,2314709,sysop,28382,2032,193,17,14945,200136,6,0,0,12
20423,Malaria,9195389,sysop,187676,6422,550,39,66018,20423,29,6,6,26
20609622,Babylon,9908049,sysop,85344,3797,869,79,126466,20609622,14,21,11,37
21021,Mecca,8293003,sysop,100406,7076,609,63,87036,21021,35,31,16,40
21069417,Egyptian mythology,1687844,sysop,66143,566,381,59,15858,21069417,5,0,0,6
21208368,Pumpkin,3495645,sysop,38670,2883,225,29,27215,21208368,6,41,19,16
21217,Native Americans in the United States,13941267,sysop,298665,13054,1431,124,157024,21217,52,31,20,30
21294852,Pony,1725900,sysop,17065,964,108,11,21296,21294852,2,2,2,11
214049,Bagel,2687828,sysop,35413,3513,213,29,28008,214049,14,12,9,23
21474,Natural number,3873158,sysop,46087,2731,461,59,38697,21474,19,1,1,14
