pageid,title,protection_status,number_of_views,number_of_edits
102724,Kyrgyz people,autoconfirmed;autoconfirmed,,
102745,Abigail Adams,autoconfirmed;autoconfirmed,,
10276064,Bill Nye,autoconfirmed,,
1027957,Early Christianity,autoconfirmed;autoconfirmed,,
10284103,House of Merode,autoconfirmed;autoconfirmed,,
1028560,Creighton Preparatory School,autoconfirmed;autoconfirmed,,
10291466,Laura Marano,autoconfirmed,,
10292532,ICarly,autoconfirmed;sysop,,
10303,Evaporation,autoconfirmed,,
10304105,Machete (film),autoconfirmed,,
1030599,Black History Month,autoconfirmed;autoconfirmed,,
1030713,Gabe Newell,autoconfirmed;autoconfirmed,,
1031793,Didier Drogba,autoconfirmed;autoconfirmed,,
1033826,Professional wrestling attacks,autoconfirmed;autoconfirmed,,
1033852,Political views of Adolf Hitler,autoconfirmed,,
1033897,Death of Adolf Hitler,autoconfirmed;autoconfirmed,,
1033898,Jim Norton (Irish actor),autoconfirmed;autoconfirmed,,
1034769,Ugly,autoconfirmed;autoconfirmed,,
103695,Master race,autoconfirmed,,
10374465,Jordan Rhodes,autoconfirmed;autoconfirmed,,
1038,Aarhus,autoconfirmed;autoconfirmed,,
1038594,Ameesha Patel,autoconfirmed;sysop,,
10391001,Lil Wayne albums discography,autoconfirmed,,
103930,Soleil Moon Frye,autoconfirmed;autoconfirmed,,
1039393,Andrewsarchus,autoconfirmed,,
10396793,The Holocaust,autoconfirmed;sysop,,
10403956,Robert Garside,autoconfirmed;autoconfirmed,,
10404818,Hindutash,autoconfirmed;autoconfirmed,,
10407205,Days of Our Lives cast members,autoconfirmed;autoconfirmed,,
10410626,John Adams,autoconfirmed;sysop,,
1041577,Mark Henry,autoconfirmed,,
10419775,Surana; Haryana,autoconfirmed;autoconfirmed,,
10422721,Pacific Northwest tree octopus,autoconfirmed;autoconfirmed,,
10442845,Travel website,autoconfirmed;autoconfirmed,,
104444,Dietary supplement,autoconfirmed;autoconfirmed,,
10445381,Calvin Goddard (ballistics),autoconfirmed;autoconfirmed,,
10449970,List of TriStar Pictures films,autoconfirmed,,
10468424,Blah,autoconfirmed;autoconfirmed,,
1047310,Crosspool,autoconfirmed,,
1047835,Way of the Dragon,autoconfirmed,,
1047970,Avenged Sevenfold,autoconfirmed;autoconfirmed,,
10483209,Skilled Group,autoconfirmed,,
10485669,Claire Holt,autoconfirmed;autoconfirmed,,
10494172,Russell Kane,autoconfirmed;autoconfirmed,,
1050479,BloodRayne 2,autoconfirmed,,
10509730,Alec Butler,autoconfirmed;autoconfirmed,,
10515516,Pooja Gandhi,autoconfirmed,,
105219,Cancer,autoconfirmed;sysop,,
105390,Pheromone,autoconfirmed;autoconfirmed,,
1056193,Wendy Williams,autoconfirmed;autoconfirmed,,
1056208,Jure Francetić,autoconfirmed;autoconfirmed,,
1056214,Ljubo Miloš,autoconfirmed;autoconfirmed,,
10567534,Blake Griffin,autoconfirmed,,
10568,Association football,autoconfirmed;autoconfirmed,,
1057414,Traumatic brain injury,autoconfirmed;autoconfirmed,,
10579795,Olga Fedori,autoconfirmed;autoconfirmed,,
1058843,Loge,autoconfirmed;autoconfirmed,,
105922,King David Hotel bombing,autoconfirmed,,
10595985,Phil Nibbelink,autoconfirmed;autoconfirmed,,
1059962,KVIE,autoconfirmed;autoconfirmed,,
10605960,Non-penetrative sex,autoconfirmed;sysop,,
1061021,List of secret police organizations,autoconfirmed;autoconfirmed,,
10624594,Krypton,autoconfirmed;sysop,,
10636232,The Pussycat Dolls,autoconfirmed;sysop,,
10646,Food,autoconfirmed;sysop,,
1066018,Philip J. Kaplan,autoconfirmed;autoconfirmed,,
10667484,Ilion Animation Studios,autoconfirmed,,
1068143,The Young Turks,autoconfirmed,,
10682197,List of Waterloo Road characters,autoconfirmed;autoconfirmed,,
10693894,Suicide Silence,autoconfirmed;autoconfirmed,,
1070152,Mugger crocodile,autoconfirmed;autoconfirmed,,
10711867,Signal Mountain Middle High School,autoconfirmed;autoconfirmed,,
10721157,Shirley Phelps-Roper,autoconfirmed;autoconfirmed,,
1075887,John Key,autoconfirmed;autoconfirmed,,
10771083,Phan Đình Phùng,autoconfirmed;sysop,,
1077137,9/11 conspiracy theories,autoconfirmed;sysop,,
10772350,History,autoconfirmed;sysop,,
1078,Antisemitism,autoconfirmed;sysop,,
1078003,Herbert Sandler,autoconfirmed;sysop,,
1078340,Immortal Technique,autoconfirmed;autoconfirmed,,
1079866,Mantle (geology),autoconfirmed;autoconfirmed,,
1081183,Andrew Bolt,autoconfirmed;autoconfirmed,,
10816091,BloodRayne (franchise),autoconfirmed;autoconfirmed,,
1081624,Rise Against,autoconfirmed;autoconfirmed,,
1082198,Nicky Cruz,autoconfirmed;autoconfirmed,,
10823,Frédéric Chopin,autoconfirmed;sysop,,
1082583,Interstate Highways in Alaska,autoconfirmed,,
10841641,Antonio Arnaiz-Villena,autoconfirmed;autoconfirmed,,
10843,Fruit,autoconfirmed;sysop,,
1084540,Ian Somerhalder,autoconfirmed;autoconfirmed,,
10851639,List of male performers in gay porn films,autoconfirmed;autoconfirmed,,
10884089,List of The New Adventures of Winnie the Pooh episodes,autoconfirmed;autoconfirmed,,
10891776,Call of Duty 4: Modern Warfare,autoconfirmed;sysop,,
108956,Washington; D.C.,autoconfirmed;sysop,,
10906185,Gurjar,autoconfirmed;sysop,,
109179,Bell; Florida,autoconfirmed;autoconfirmed,,
10919134,Jozy Altidore,autoconfirmed;autoconfirmed,,
1092923,Google,autoconfirmed;sysop,,
10951,Fahrenheit 451,autoconfirmed;autoconfirmed,,
1095706,Jesus,autoconfirmed;sysop,,
10958,Fossil,autoconfirmed;sysop,,
10960729,Mike Harper,autoconfirmed;autoconfirmed,,
10964586,Tottington High School,autoconfirmed;autoconfirmed,,
10972664,Young Money Entertainment,autoconfirmed;autoconfirmed,,
10979,Franklin D. Roosevelt,autoconfirmed;sysop,,
1098645,Djedefre,autoconfirmed;autoconfirmed,,
10999148,Pierce the Veil,autoconfirmed,,
1100953,Khachkar,autoconfirmed;sysop,,
1101067,KAPAP,autoconfirmed;autoconfirmed,,
11014515,List of ethnic slurs,autoconfirmed;sysop,,
11015252,Vladimir Lenin,autoconfirmed;sysop,,
1102136,Sambandar,autoconfirmed,,
1102585,New Brunswick general election; 1987,autoconfirmed;autoconfirmed,,
11026242,Traumatic insemination,autoconfirmed;autoconfirmed,,
11030872,God Made Me Funky,autoconfirmed;autoconfirmed,,
11033,Frederick Douglass,autoconfirmed,,
11038318,Methamphetamine,autoconfirmed;sysop,,
1103839,List of Freemasons,autoconfirmed;autoconfirmed,,
11039790,Animal,autoconfirmed;sysop,,
1104035,Boob,autoconfirmed;autoconfirmed,,
11042,Fat,autoconfirmed;sysop,,
1104310,James L. Dolan,autoconfirmed;autoconfirmed,,
11044005,Satellite Spies,autoconfirmed;autoconfirmed,,
1105029,Nair,extendedconfirmed,,
11053801,Maz Jobrani,autoconfirmed;autoconfirmed,,
11054586,North View Secondary School,autoconfirmed;autoconfirmed,,
1105480,Mushroomhead,autoconfirmed,,
11058016,Mohammad Asghar,autoconfirmed;autoconfirmed,,
11059,Five Pillars of Islam,autoconfirmed;autoconfirmed,,
11059398,Adult diaper,autoconfirmed;autoconfirmed,,
1106026,Beth Ostrosky Stern,autoconfirmed;autoconfirmed,,
11062,Friction,autoconfirmed,,
11069849,Disappearance of Madeleine McCann,autoconfirmed;sysop,,
11079079,Mongolian barbecue,autoconfirmed;autoconfirmed,,
1108159,Carcharodontosaurus,autoconfirmed;autoconfirmed,,
11089416,Test,autoconfirmed;sysop,,
1109104,Ray Comfort,autoconfirmed;autoconfirmed,,
11091078,Dragon Ball,autoconfirmed;sysop,,
1109945,Turkish Naval Forces,autoconfirmed;autoconfirmed,,
11100573,Nguyen Tu Quang,autoconfirmed;autoconfirmed,,
11115779,George Runner,autoconfirmed;autoconfirmed,,
11121,Fox News Channel,autoconfirmed;sysop,,
11123648,Canterbury University (Seychelles),autoconfirmed;autoconfirmed,,
11125639,Turkey,autoconfirmed;sysop,,
11127,Federal Bureau of Investigation,autoconfirmed;sysop,,
11137057,BlueWare,autoconfirmed;autoconfirmed,,
1113854,.ru,autoconfirmed,,
11145,Fire,autoconfirmed;sysop,,
1114570,John O'Shea,autoconfirmed;autoconfirmed,,
11146900,Barney in Outer Space,autoconfirmed,,
1114732,Palestine (region),autoconfirmed;sysop,,
1116006,Histeria!,autoconfirmed,,
1116229,Genesis creation narrative,autoconfirmed;sysop,,
1116804,Guard dog,autoconfirmed;autoconfirmed,,
1117328,Pickaxe,autoconfirmed;autoconfirmed,,
11177519,Bajót,autoconfirmed;autoconfirmed,,
1117939,Fernando Torres,autoconfirmed;sysop,,
1118379,Online shopping,autoconfirmed;autoconfirmed,,
11185,Feminism,autoconfirmed;sysop,,
11185534,Babu Antony,autoconfirmed;autoconfirmed,,
11188,French Revolution,autoconfirmed;sysop,,
1118915,Sheeple,autoconfirmed;autoconfirmed,,
1119701,Physical medicine and rehabilitation,autoconfirmed;autoconfirmed,,
11206371,List of Animals of Farthing Wood characters,autoconfirmed;sysop,,
11217925,Paris Hilton,autoconfirmed;sysop,,
11223317,Prince Devitt,autoconfirmed;autoconfirmed,,
11223633,Aiglon College,autoconfirmed;autoconfirmed,,
11227,Freemasonry,autoconfirmed;autoconfirmed,,
112274,The Blitz,autoconfirmed;sysop,,
1123327,1998 San Marino Grand Prix,autoconfirmed;autoconfirmed,,
1123369,Historiography of the fall of the Western Roman Empire,autoconfirmed;autoconfirmed,,
11236,Fart,autoconfirmed;sysop,,
11237896,Kalya,autoconfirmed;autoconfirmed,,
11240,Flatulence,autoconfirmed;sysop,,
11247682,The Devil Wears Prada (band),autoconfirmed;autoconfirmed,,
11250,Premier League,autoconfirmed;sysop,,
11258,Fellatio,autoconfirmed,,
11260,Relax (song),autoconfirmed;autoconfirmed,,
11260577,Ann Romney,autoconfirmed;autoconfirmed,,
11263766,Diary of a Wimpy Kid,autoconfirmed;autoconfirmed,,
1126490,Yard of ale,autoconfirmed;autoconfirmed,,
1126578,Ciara,autoconfirmed;autoconfirmed,,
1127442,Mohammed Burhanuddin,autoconfirmed;sysop,,
11276293,Gargamel,autoconfirmed,,
11286472,Renee Alway,autoconfirmed;autoconfirmed,,
11288250,Martin Hirsch,autoconfirmed;autoconfirmed,,
11291,Floccinaucinihilipilification,autoconfirmed;autoconfirmed,,
1129182,Leonardo Araújo,autoconfirmed;autoconfirmed,,
1129697,Paper plane,autoconfirmed,,
11299,Fox,autoconfirmed;sysop,,
1130104,New Brunswick general election; 1982,autoconfirmed;autoconfirmed,,
113055,Temperament,autoconfirmed;autoconfirmed,,
1130636,Master Chief (Halo),autoconfirmed;autoconfirmed,,
11315,Friends,autoconfirmed;sysop,,
113180,Pussy,autoconfirmed;sysop,,
11330163,List of dubstep musicians,autoconfirmed;autoconfirmed,,
11345507,List of Tak and the Power of Juju episodes,autoconfirmed,,
11347320,Saint Thomas More High School (Milwaukee),autoconfirmed;autoconfirmed,,
113525,Dick,autoconfirmed;sysop,,
11366634,Katie Hopkins,autoconfirmed;autoconfirmed,,
1136832,Duran Duran discography,autoconfirmed;autoconfirmed,,
11370,FIFA World Cup,autoconfirmed,,
11371144,WRFF,autoconfirmed;autoconfirmed,,
113728,Geothermal energy,autoconfirmed;autoconfirmed,,
113746,Sean Penn,autoconfirmed;sysop,,
11392263,Sacramento County Jail,autoconfirmed;autoconfirmed,,
11403316,Compressed sensing,autoconfirmed;autoconfirmed,,
11408,Female genital mutilation,autoconfirmed;autoconfirmed,,
11411461,Ola Toivonen,autoconfirmed;autoconfirmed,,
1141314,California Miramar University,autoconfirmed;autoconfirmed,,
1141494,Salif Diao,autoconfirmed;autoconfirmed,,
11415141,Masturbation,autoconfirmed;sysop,,
1142195,Onogurs,autoconfirmed;autoconfirmed,,
1143036,Chelmsley Wood,autoconfirmed;autoconfirmed,,
1143659,Ruby Bridges,autoconfirmed;autoconfirmed,,
1143923,Honolulu University,autoconfirmed;autoconfirmed,,
11447,Flag of the United States,autoconfirmed;autoconfirmed,,
11461,Francis Crick,autoconfirmed;autoconfirmed,,
11470826,Jake T. Austin,autoconfirmed;autoconfirmed,,
11473533,Adam and Eve,autoconfirmed;autoconfirmed,,
11481790,Nancy Grace,autoconfirmed;autoconfirmed,,
11485528,Dan O'Halloran,autoconfirmed;autoconfirmed,,
11492,Foot,autoconfirmed;sysop,,
11495370,Pershing Map,autoconfirmed,,
11504,Fandom,autoconfirmed;autoconfirmed,,
1150748,Bhagat Singh,autoconfirmed;autoconfirmed,,
11508,Francis Drake,autoconfirmed;sysop,,
11511282,YouPorn,autoconfirmed;sysop,,
11521084,Cassandra Clare,autoconfirmed;autoconfirmed,,
11546879,Google Street View,autoconfirmed;autoconfirmed,,
11548323,List of gay; lesbian or bisexual people: C,autoconfirmed;autoconfirmed,,
11554502,Lester Coleman,autoconfirmed;autoconfirmed,,
11556927,Mediacorp HD5,autoconfirmed;autoconfirmed,,
11557106,Batman in film,autoconfirmed;autoconfirmed,,
11567096,Murdoch Mysteries,autoconfirmed;autoconfirmed,,
11567670,List of The Cosby Show characters,autoconfirmed;autoconfirmed,,
1157014,Pauly Shore,autoconfirmed;autoconfirmed,,
11578887,General Hospital cast members,autoconfirmed;autoconfirmed,,
1157910,Jimmy Conrad,autoconfirmed;autoconfirmed,,
11593017,Burn Notice,autoconfirmed;autoconfirmed,,
1160865,Samy Vellu,autoconfirmed;autoconfirmed,,
11619883,Blumpkin,sysop;sysop,,
1162481,Modi'in Illit,autoconfirmed;sysop,,
1162486,Giv'at Ze'ev,autoconfirmed,,
11631288,Abilene High School (Texas),autoconfirmed;autoconfirmed,,
11638,Francis of Assisi,autoconfirmed;sysop,,
1164274,Claremont Graduate University,autoconfirmed;autoconfirmed,,
11650319,Xiaxue,autoconfirmed;autoconfirmed,,
11663591,The Contractor (2007 film),autoconfirmed,,
11665,Filtration,autoconfirmed;autoconfirmed,,
1168295,Merneptah,autoconfirmed;autoconfirmed,,
11700559,List of scientists opposing the mainstream scientific assessment of global warming,autoconfirmed;autoconfirmed,,
11712287,Riaz Ahmed Gohar Shahi,autoconfirmed;autoconfirmed,,
1172299,Damon Dash,autoconfirmed;autoconfirmed,,
1174,Aphrodite,autoconfirmed;autoconfirmed,,
1174295,Civil Disobedience (Thoreau),autoconfirmed;autoconfirmed,,
11747574,Nicole Alexander,autoconfirmed;autoconfirmed,,
1174943,David Hager,autoconfirmed;autoconfirmed,,
11749910,Cheese,autoconfirmed;sysop,,
1175987,List of Nobel laureates,autoconfirmed;autoconfirmed,,
11766333,Online quiz,autoconfirmed;autoconfirmed,,
11768984,Surveen Chawla,autoconfirmed;autoconfirmed,,
11776556,Ripe Digital Entertainment,autoconfirmed;autoconfirmed,,
11778948,Atomic bombings of Hiroshima and Nagasaki,autoconfirmed;sysop,,
1178,Afterlife,autoconfirmed;autoconfirmed,,
11805756,Greg Plitt,autoconfirmed;autoconfirmed,,
11808592,México en la Piel (album),autoconfirmed,,
1181010,Logan Lerman,autoconfirmed;sysop,,
1181487,Halo 3,autoconfirmed;autoconfirmed,,
11815465,List of Who Wants to Be a Millionaire? top prize winners,autoconfirmed,,
1181646,War on Drugs,autoconfirmed;autoconfirmed,,
1181663,Comic book collecting,autoconfirmed;autoconfirmed,,
11824669,Amit Singhal,autoconfirmed;autoconfirmed,,
11826154,Wang Leehom,autoconfirmed;autoconfirmed,,
11835861,Yucaipa High School,autoconfirmed;autoconfirmed,,
11846,Guitar,autoconfirmed;sysop,,
11850610,Jeffree Star,autoconfirmed;autoconfirmed,,
1185646,Mentuhotep II,autoconfirmed,,
11857,George Lucas,autoconfirmed;autoconfirmed,,
1186115,Islam in India,autoconfirmed;autoconfirmed,,
11862690,Juno (film),autoconfirmed;autoconfirmed,,
11867,Germany,autoconfirmed;sysop,,
11876731,The Mystery of the Druids,autoconfirmed;autoconfirmed,,
1187948,Gary Paulsen,autoconfirmed,,
11889949,Rob Dyrdek,autoconfirmed,,
1189614,The Perfect Score,autoconfirmed;autoconfirmed,,
1190582,George Gollin,autoconfirmed;autoconfirmed,,
11914121,Rand Paul,autoconfirmed;autoconfirmed,,
1191676,Geert Wilders,autoconfirmed;autoconfirmed,,
11921,Gambling,autoconfirmed;autoconfirmed,,
11926916,Portland Pride,autoconfirmed;autoconfirmed,,
11932269,List of management consulting firms,autoconfirmed;autoconfirmed,,
11933433,Daniel A. McGowan,autoconfirmed;autoconfirmed,,
1193390,The Order (2001 film),autoconfirmed,,
1195328,Erotic asphyxiation,autoconfirmed;sysop,,
11955,George H. W. Bush,autoconfirmed;sysop,,
1195649,Michael Klonsky,autoconfirmed;autoconfirmed,,
11968,George Washington,autoconfirmed;sysop,,
1197010,Hwang Jang-lee,autoconfirmed,,
1197173,Joe Pasquale,autoconfirmed;autoconfirmed,,
11973,Generation X,autoconfirmed;autoconfirmed,,
11976936,Numpty,sysop;sysop,,
11985,Graffiti,autoconfirmed;autoconfirmed,,
11986,Godzilla,autoconfirmed;sysop,,
1199328,English Mastiff,autoconfirmed;autoconfirmed,,
11996885,Electronic cigarette,autoconfirmed;sysop,,
1200987,Afghanistan national football team,autoconfirmed;autoconfirmed,,
1203316,Fred Trump,autoconfirmed;autoconfirmed,,
12035677,Ahnenpass,autoconfirmed,,
1204033,Astrid Muñoz,autoconfirmed;autoconfirmed,,
1204377,MapleStory,autoconfirmed;sysop,,
1204559,Jewish Voice for Peace,autoconfirmed;autoconfirmed,,
1204666,Cuteness,autoconfirmed;autoconfirmed,,
1205872,Halo (series),autoconfirmed;sysop,,
1206861,Wack Pack,autoconfirmed;autoconfirmed,,
12069270,A Day in the Park with Barney,autoconfirmed;sysop,,
12079268,List of Kannada-language poets,autoconfirmed;autoconfirmed,,
12082612,Jennings Dog,autoconfirmed;autoconfirmed,,
12089954,Wherever We May Roam Tour,autoconfirmed,,
1209075,Melania Trump,autoconfirmed;sysop,,
12107644,Owned-and-operated television stations in the United States,autoconfirmed,,
12108,Greece,autoconfirmed;sysop,,
12115130,List of programmes broadcast by Mediacorp HD5,autoconfirmed;autoconfirmed,,
12120000,27 Club,autoconfirmed;autoconfirmed,,
1212256,Homeward Bound: The Incredible Journey,autoconfirmed;autoconfirmed,,
12137890,Human penis,autoconfirmed;autoconfirmed,,
12153654,Elizabeth II,autoconfirmed;sysop,,
12155332,Pioneer Court,autoconfirmed;autoconfirmed,,
12156241,Guns N' Roses/Metallica Stadium Tour,autoconfirmed,,
1216855,Puerto Rican Campaign,autoconfirmed;autoconfirmed,,
12174108,Jérôme Boateng,autoconfirmed,,
12176866,List of The Wiggles episodes,autoconfirmed,,
1218122,Shaun White,autoconfirmed;autoconfirmed,,
1220214,American lion,autoconfirmed,,
12209728,Thom Loverro,autoconfirmed;autoconfirmed,,
1221227,The Mountain Goats,autoconfirmed;autoconfirmed,,
1221420,William Greer,autoconfirmed;sysop,,
1221476,Chris Hemsworth,autoconfirmed;autoconfirmed,,
12218249,Wellington Point State High School,autoconfirmed;autoconfirmed,,
12224,Great Pyramid of Giza,autoconfirmed;sysop,,
12237784,List of YouTubers,autoconfirmed,,
12240,Gold,autoconfirmed;sysop,,
12241,Gallium,autoconfirmed;autoconfirmed,,
12254052,Smoking,autoconfirmed;sysop,,
12255,G,autoconfirmed;sysop,,
12257,Gamma,autoconfirmed;autoconfirmed,,
1226109,Wayne LaPierre,autoconfirmed;autoconfirmed,,
12274,Guy de Maupassant,autoconfirmed;autoconfirmed,,
12280293,Law practice management software,autoconfirmed;autoconfirmed,,
1229373,Maki (political party),autoconfirmed;autoconfirmed,,
1229550,Olympiacos F.C.,autoconfirmed;autoconfirmed,,
12296559,Dana Ullman,autoconfirmed;autoconfirmed,,
12304499,Code2000,autoconfirmed;autoconfirmed,,
12305742,Shahidul Islam,autoconfirmed;autoconfirmed,,
12310814,Carly Rae Jepsen,autoconfirmed;autoconfirmed,,
1232575,Suicide methods,autoconfirmed;autoconfirmed,,
12330092,Girls' Generation,autoconfirmed;sysop,,
1233146,Shamrock Rovers F.C.,autoconfirmed;autoconfirmed,,
12333673,Stuart Howe,autoconfirmed;autoconfirmed,,
12336,Gladiator,autoconfirmed,,
12339,Genetically modified organism,autoconfirmed;sysop,,
12339704,For The Win (Internet slang),sysop;sysop,,
12345059,Maan Al-Sanea,autoconfirmed,,
12346158,Smosh,autoconfirmed;autoconfirmed,,
12350316,Tim Donaghy,autoconfirmed;autoconfirmed,,
1236087,Qutb Shahi dynasty,autoconfirmed;autoconfirmed,,
1236320,Jenna Haze,autoconfirmed;autoconfirmed,,
12379529,Srbosjek,autoconfirmed;autoconfirmed,,
12384,Gettysburg Address,autoconfirmed;autoconfirmed,,
1238462,Jamaica Defence Force,autoconfirmed;autoconfirmed,,
12386,Golden ratio,autoconfirmed;autoconfirmed,,
12395,Greenhouse effect,autoconfirmed;autoconfirmed,,
1239591,Edit,autoconfirmed;sysop,,
1241274,Ramesses VI,autoconfirmed;autoconfirmed,,
1241280,Ramesses VII,autoconfirmed;autoconfirmed,,
12414587,Camp Rock,autoconfirmed;sysop,,
12420911,Saima Noor,autoconfirmed;autoconfirmed,,
1243134,Bioidentical hormone replacement therapy,autoconfirmed;autoconfirmed,,
12436,Grape,autoconfirmed;autoconfirmed,,
12438675,Jenny Brockie,autoconfirmed;autoconfirmed,,
12446,Germanic peoples,autoconfirmed;autoconfirmed,,
1245311,Finasteride,autoconfirmed;autoconfirmed,,
12460,Green,autoconfirmed;sysop,,
1246649,Stephen Hillenburg,autoconfirmed,,
1247225,Peter Stollery,autoconfirmed;autoconfirmed,,
12474403,Climate change denial,autoconfirmed;sysop,,
12482493,J.C. Intal,autoconfirmed;autoconfirmed,,
1248557,Bianca Jagger,autoconfirmed;autoconfirmed,,
12495,Grover Cleveland,autoconfirmed;sysop,,
12497236,Fazura,autoconfirmed;autoconfirmed,,
12499554,Soulja Boy,autoconfirmed;sysop,,
1250419,Cummingtonite,autoconfirmed;autoconfirmed,,
1251041,Michael Wong (actor),autoconfirmed,,
1251635,Graceland University,autoconfirmed;autoconfirmed,,
12520860,Demi Lovato,autoconfirmed;sysop,,
12523627,List of awards and nominations received by Justin Timberlake,autoconfirmed;autoconfirmed,,
12523803,List of reggaeton musicians,autoconfirmed;autoconfirmed,,
125248,Charles; Prince of Wales,autoconfirmed;sysop,,
125279,List of metropolitan areas by population,autoconfirmed,,
125293,Copper,autoconfirmed;sysop,,
1253516,Booty,autoconfirmed;autoconfirmed,,
12545190,List of Turkish Americans,autoconfirmed;autoconfirmed,,
12546,Gorilla,autoconfirmed;sysop,,
12554531,List of gay; lesbian or bisexual people: Ba–Bh,autoconfirmed;autoconfirmed,,
1255986,Hamilton University,autoconfirmed;autoconfirmed,,
12561015,4chan,autoconfirmed;sysop,,
12562,Gregor Mendel,autoconfirmed;sysop,,
12581,Glass,autoconfirmed;sysop,,
12582331,Timeline of Crayola,autoconfirmed;autoconfirmed,,
1258292,Rick Aviles,autoconfirmed;autoconfirmed,,
1259693,Camel toe,autoconfirmed;autoconfirmed,,
12605712,Banahaw Broadcasting Corporation,autoconfirmed;autoconfirmed,,
12610483,Android (operating system),autoconfirmed;autoconfirmed,,
12612514,Miley Cyrus discography,autoconfirmed;autoconfirmed,,
1263046,Clipping path,autoconfirmed,,
1263467,The North Face,autoconfirmed,,
12635211,Biggest Loser Jeetega,autoconfirmed;autoconfirmed,,
12638427,Koorawatha,autoconfirmed;autoconfirmed,,
1264636,Al McDonald,autoconfirmed;autoconfirmed,,
12655104,Superior High School (Montana),autoconfirmed;autoconfirmed,,
12663,Green Bay Packers,autoconfirmed;sysop,,
12677898,Terms for Syriac Christians,autoconfirmed;autoconfirmed,,
12678767,The Land Before Time XIII: The Wisdom of Friends,autoconfirmed;autoconfirmed,,
1268027,Maximus Inc.,autoconfirmed;autoconfirmed,,
12684530,Jennifer Lawrence,autoconfirmed;sysop,,
1269138,Street Fighter (1994 film),autoconfirmed,,
12701,Greenwich Mean Time,autoconfirmed;sysop,,
1270649,Mike Lupica,autoconfirmed;autoconfirmed,,
12707,Guy Fawkes,autoconfirmed,,
12713,Giant panda,autoconfirmed;sysop,,
12714038,Edward Bodkin,autoconfirmed;autoconfirmed,,
12717,Giraffe,autoconfirmed;autoconfirmed,,
1272002,Pool (cue sports),autoconfirmed;autoconfirmed,,
12729700,Ranvir Shorey,autoconfirmed;autoconfirmed,,
1273,Augustus,autoconfirmed;sysop,,
1273220,Killer Instinct 2,autoconfirmed;autoconfirmed,,
1274780,Emu War,autoconfirmed;autoconfirmed,,
127575,New Rochelle; New York,autoconfirmed;autoconfirmed,,
12759502,List of gay; lesbian or bisexual people: W–Z,autoconfirmed;autoconfirmed,,
1277918,Charlie and the Chocolate Factory (film),autoconfirmed;autoconfirmed,,
12787,Geoffrey Chaucer,autoconfirmed;sysop,,
1279880,Rationing in the United Kingdom,autoconfirmed;autoconfirmed,,
12799449,Debate on traditional and simplified Chinese characters,autoconfirmed;autoconfirmed,,
12804,Grigori Rasputin,autoconfirmed;sysop,,
12818656,Shiner (band),autoconfirmed;autoconfirmed,,
12820978,The Real World: Hollywood,autoconfirmed;autoconfirmed,,
1282180,Barelvi,autoconfirmed;sysop,,
12830243,Battle of Chamkaur (1704),autoconfirmed;sysop,,
1283127,Hairdresser,autoconfirmed;autoconfirmed,,
